year,set_num,name,parent_theme_name,num_parts
2015,31038-1,Changing Seasons,Town,536
2015,31039-1,Blue Power Jet,Town,608
1985,310-4,Basic Building Set,Service Packs,46
2016,31040-1,Desert Racers,Town,65
1998,3104-1,Ashley (aka Caroline in Red Dress),Town,8
2016,31041-1,Construction Vehicles,Town,64
2016,31042-1,Super Soarer,Town,100
2016,31043-1,Chopper transporter,Town,124
2016,31044-1,Park Animals,Town,202
2016,31045-1,Ocean Explorer,Town,213
2016,31046-1,Fast Car,Town,222
2016,31047-1,Propeller Plane,Town,230
2016,31048-1,Lakeside Lodge,Town,370
2016,31049-1,Twin Spin Helicopter,Town,326
1958,310-5,ESSO Filling Station,Boat,96
2016,31050-1,Corner Deli,Town,467
1998,3105-1,Emma in Flower Dress,Town,7
2016,31051-1,Lighthouse Point,Town,527
2016,31052-1,Vacation Getaways,Town,792
2016,31053-1,Treehouse Adventures,Town,387
2017,31054-1,Blue Express,Town,71
2017,31055-1,Red Racer,Town,72
2017,31056-1,Green Cruiser,Town,122
2017,31057-1,Air Blazer,Town,102
2017,31058-1,Mighty Dinosaurs,Town,174
2016,31059-1,Sunset Street Bike,Town,194
2016,31060-1,Airshow Aces,Town,246
1998,3106-1,Marie in Rainbow Skirt,Town,9
2017,31062-1,Robo Explorer,Town,205
2017,31063-1,Beachside Vacation,Town,275
2017,31064-1,Island Adventures,Town,359
2017,31065-1,Park Street Townhouse,Town,566
2017,31066-1,Space Shuttle Explorer,Town,285
2017,31067-1,Modular Poolside Holiday,Town,356
2017,31068-1,Modular Modern Home,Town,386
2017,31069-1,Modular Family Villa,Town,728
2017,31070-1,Turbo Track Racer,Town,670
1998,3107-1,Andrea in Sun Dress,Town,8
2018,31071-1,Drone Explorer,Town,109
2018,31072-1,Extreme Engines,Town,109
2018,31073-1,Mythical Creatures,Town,223
2018,31074-1,Rocket Rally Car,Town,241
2018,31075-1,Outback Adventures,Town,225
2018,31076-1,Daredevil Stunt Plane,Town,200
2018,31077-1,Modular Sweet Surprises,Town,396
2018,31078-1,Tree House Treasures,Town,260
2018,31079-1,Sunshine Surfer Van,Town,379
2018,31080-1,Modular Winter Vacation,Town,374
1998,3108-1,Birthday Accessories,Town,32
2018,31081-1,Modular Skate House,Town,422
2018,31083-1,Cruising Adventures,Town,597
2018,31084-1,Pirate Roller Coaster,Town,923
2018,31085-1,Mobile Stunt Show,Town,581
2019,31086-1,Futuristic Flyer,Town,157
2019,31087-1,Dune Buggy,Town,147
2019,31088-1,Deep Sea Creatures,Town,230
2019,31089-1,Sunset Track Racer,Town,221
2019,31090-1,Underwater Robot,Town,207
2019,31091-1,Shuttle Transporter,Town,341
2019,31092-1,Helicopter Adventure,Town,114
2019,31093-1,Riverside Houseboat,Town,396
2019,31094-1,Race Plane,Town,333
2019,31095-1,Fairground Carousel,Town,594
2019,31096-1,Twin-Rotor Helicopter,Creator,569
2019,31097-1,Townhouse Pet Shop & Café,Creator,968
2019,31098-1,Outback Cabin,Creator,305
1973,31-1,Medium Ship Set,Legoland,0
1998,3110-1,Four Animal Friends,Town,16
1973,311-1,Ferry,Bionicle,82
1979,311-2,Pendant,Town,22
1998,3112-1,Baby's Nursery,Town,35
1984,311-3,Basic Set,Town,34
1961,311-4,Airplanes,System,79
1998,3114-1,My Place,Town,45
1970,311-5,Remote Control Car Set,Bionicle,188
1998,3115-1,Kitchen,Town,45
1998,3116-1,Cool Ice Cream Cafe,Town,73
1998,3117-1,Flashy Pool,Town,85
1998,3118-1,Fun Fashion Boutique,Town,122
1998,3119-1,Sunshine Home,Town,146
1973,31-2,Universal Joint / Connectors,Quatro,21
1998,3120-1,Additional Room,Town,14
2001,3121-1,Summer Day Out,Town,22
1979,312-2,Bracelet and Pendant,Town,55
2001,3122-1,1-2-3 Marie,Town,21
1973,312-3,Tanker,Bionicle,111
2001,3123-1,Emma's Chill-Out Kitchen,Town,56
1961,312-4,Boats,System,107
2001,3124-1,Indie's Stable,Town,86
2004,3125-1,Preschool Playtable,Super Heroes,17
2001,3126-1,Green Bucket,Batman,40
1999,3130-1,Swinging Stroller,Town,17
1966,313-1,London Bus,System,140
2013,31313-1,Mindstorms EV3,Architecture,601
1979,313-2,Bracelet and Pendant,Town,40
1999,3132-1,Emma,Town,11
1999,3133-1,Andrea in Jogging Suit,Town,9
1999,3134-1,Marie in Happy Flowers,Town,10
1999,3135-1,Olivia in Fancy Wear,Town,10
1999,3136-1,Chris (aka Christian in Blue Jeans),Town,9
1999,3137-1,Casual Wear for Men,Town,1
1999,3138-1,Fashion Wear for Ladies,Town,0
1999,3139-1,Windbreaker and Jeans,Town,2
1999,3140-1,Dancing Circle Dress for Girls,Town,2
1976,314-1,Police Boat,Bionicle,52
1999,3141-1,Snuggly Baby Wear,Town,1
1963,314-2,Large & Small Wheels & Turn-Table,System,35
1999,3142-1,Marie's Room,Town,111
1999,3143-1,Camping Trip,Town,80
1999,3144-1,Horse Stable,Town,35
1999,3146-1,Carry and Shopping Accessories,Town,15
2000,3148-1,Carla's Winter Camp,Town,164
2000,3149-1,Happy Home,Town,248
2000,3150-1,Puppy Playground,Town,39
1990,315-1,Basic Building Set,Service Packs,62
2000,3151-1,Emma on the Move,Town,67
1976,315-2,Container Transport,Bionicle,84
2000,3152-1,Playroom for the Baby Thomas,Town,78
1963,315-3,European Taxi,System,48
1968,315-4,European Taxi,System,48
2000,3155-1,Olivia in Smooth Dress,Town,11
2000,3156-1,Hot Wear for Woman,Town,3
2000,3157-1,Cool Wear for Girls,Town,2
2000,3158-1,Christian in Tough Wear,Town,3
2000,3159-1,Celebration,Town,35
1978,316-1,Fire Fighter Ship,Bionicle,141
1963,316-2,Farm Tractor,System,49
1968,316-3,Farm Tractor,System,49
1963,317-1,Truck,System,125
1987,317-2,Basic Building Set,Service Packs,68
1968,317-3,Truck,System,125
2010,3177-1,Small Car,Town,43
2010,3178-1,Seaplane,Town,101
2010,3179-1,Repair Truck,Town,123
2010,3180-1,Tank Truck,Model,221
1963,318-1,Windmill Set,Bionicle,153
2010,3181-1,Passenger Plane,Town,308
2010,3181-2,Passenger Plane - ANA Version,Town,296
2010,3182-1,Airport,Town,705
2012,3183-1,Stephanie’s Cool Convertible,Super Heroes,148
2012,3184-1,Adventure Camper,Super Heroes,324
2012,3185-1,Summer Riding Camp,Super Heroes,1158
2012,3186-1,Emma's  Horse Trailer,Super Heroes,233
2012,3187-1,Butterfly Beauty Shop,Super Heroes,241
2012,3188-1,Heartlake Vet,Super Heroes,370
2012,3189-1,Heartlake Stables,Super Heroes,424
1965,319-1,Truck with Trailer,System,74
2006,3191-1,50 Jahre Anniversary Bucket,Batman,103
1968,319-2,Truck with Trailer,System,74
2005,3193-1,Fashion Designer Kit,Super Heroes,10
2004,3194-1,Clikits Bracelet Heart,Super Heroes,9
2004,3195-1,Clikits Bracelet Daisy,Super Heroes,9
2004,3196-1,Clikits Bracelet Star,Super Heroes,9
2001,3197-1,Small Aircraft,Service Packs,16
1997,3200-1,Beauty Studio,Town,33
1985,320-1,Basic Building Set,Service Packs,78
1997,3201-1,Living Room,Town,33
1965,320-2,Airplane,System,120
1997,3202-1,Laundry Room,Town,38
1968,320-3,Airplane,System,120
1997,3203-1,Dressing Table,Town,23
1998,3204-1,Auntie Jane and Cousin Sophie,Town,25
1998,3205-1,Julie's (Andrea's) Picnic Lunch,Town,26
1998,3206-1,Ashley's Snack Time (Emma Making Lunch),Town,26
1998,3210-1,Party Dress and Accessories,Town,24
1965,321-1,Clowns,Bionicle,223
1998,3211-1,Girls' Dress and Accessories,Town,22
2002,3219-1,TIE Fighter - Mini,Pirates I,12
1973,32-2,Large Ship Set,Legoland,57
1998,3220-1,Christian with Gifts,Town,21
1981,322-1,Basic Set,Town,82
2010,3221-1,LEGO City Truck,Town,277
1964,322-2,Town House,Bionicle,171
2010,3222-1,Helicopter and Limousine,Town,267
1983,322-3,Basic Building Set + Storage Case,Town,2
2003,3223-1,Orange Fish,Castle,43
1969,322-4,Educational Gear Set,Duplo,43
1998,3225-1,Classic Train,Advent Sub-Set,281
1998,3226-1,Cars and Planes,Dino 2010,311
1964,323-1,Train,System,253
1998,3233-1,Fantasy Bird,Dino 2010,32
1998,3234-1,Fantasy Boat,Dino 2010,27
1997,3240-1,Andrea's Miniature Garden,Town,61
1979,324-1,Ricky Racoon on his Scooter,Vehicle,2
1997,3241-1,Nursery,Town,53
1964,324-2,House with Garage,Bionicle,174
1997,3242-1,Bathroom,Town,78
1997,3243-1,Kitchen,Town,102
1990,325-1,Basic Building Set,Service Packs,109
1979,325-2,Percy Pig's Wheelbarrow,Vehicle,6
1966,325-3,Shell Service Station,Bionicle,101
2004,3259-1,Kanoka Launcher And Disc,Bionicle,2
1965,326-1,Small Cottage,Bionicle,63
2001,3263-1,Goozle,Town,10
2001,3264-1,Tez,Town,9
2001,3265-1,Wazo,Town,6
2001,3266-1,Tubes,Batman,58
2001,3267-1,Brick Runner,Batman,25
1997,3270-1,Dream Cottage,Town,124
1987,327-1,Basic Building Set,Service Packs,107
2001,3271-1,Bob's Workshop,Minecraft,11
2001,3272-1,Scoop on the Road,Minecraft,21
2001,3273-1,"Bob, Lofty and the Mice",Minecraft,20
2001,3274-1,Bob and Muck Repair the Barn,Minecraft,36
2001,3275-1,Bob's Big Building Box,Minecraft,52
2001,3276-1,Muck and Scoop,Minecraft,54
2002,3278-1,Wallpaper Wendy (Explore),Minecraft,9
2002,3279-1,Busy Bob,Minecraft,10
1979,328-1,Moe Mouse's Roadster,Vehicle,23
2002,3281-1,Naughty Spud,Minecraft,9
1967,328-2,Biplane,System,44
2002,3282-1,Clock Tower Bob,Minecraft,50
2002,3283-1,Dizzy's Birdwatch,Minecraft,40
2003,3284-1,Bob's Busy Day,Minecraft,9
2003,3285-1,Wendy in the Office,Minecraft,8
2003,3286-1,Spud & Bird,Minecraft,10
2004,3287-1,Takutanuva,Bionicle,2
2007,3288-1,Packer,Minecraft,19
2007,3289-1,Muck & Roley in the Sunflower Factory,Minecraft,36
1997,3290-1,The Big Family House,Town,253
1967,329-1,Antique Car,System,111
1979,329-2,Bernard Bear and Pickup Truck,Vehicle,27
2005,3292-1,Dizzy's Bridge Set,Minecraft,20
1968,329-3,Antique Car,System,111
2005,3293-1,Benny's Dig Set,Minecraft,20
2005,3294-1,Muck's Recycling Set,Minecraft,33
2005,3295-1,Roley's Road Set,Minecraft,26
2005,3296-1,Travis and the Mobile Caravan,Minecraft,25
2005,3297-1,Scoop and Lofty at the Building Yard,Minecraft,61
2006,3298-1,Lift and Load Sumsy,Minecraft,10
2006,3299-1,Scrambler and Dizzy at Bob's Workshop,Minecraft,50
2010,3300000-1,"The Brick Apple (LEGO Store Grand Opening Set, Rockefeller Center, New York, NY)",Freestyle,133
2011,3300001-1,Brickley,Creator,197
2011,3300002-1,Holiday Set 2 of 2,Advent,117
2012,3300003-1,Lego Brand Retail Store,Freestyle,280
2011,3300005-1,"LEGO Store Grand Opening Exclusive Set, Copenhagen (KÃ¸benhavn), Denmark",Freestyle,56
2011,3300006-1,"The Routemaster Bus (LEGO Store Grand Opening Set, Westfield, London, UK)",Freestyle,117
2012,3300014-1,Holiday Set,Advent,109
2011,3300020-1,Holiday Set 1 of 2,Advent,98
2006,3300-1,Harold the Helicopter,Mixels,7
2011,330081-1,Play and Build Kit for Nintendo DS - Star Wars,Super Heroes,6
1985,330-1,Basic Building Set,Service Packs,158
2006,3301-1,Cranky-Loading Crane,Mixels,34
1978,330-2,Gas Station,Bionicle,212
1998,3302-1,Soccer Field,Service Packs,2
1968,330-3,Jeep,System,65
1998,3303-1,Field Accessories,Service Packs,50
1968,330-4,Jeep,System,65
1998,3304-1,Dutch National Player,Service Packs,4
1998,3305-1,World Team Player,Service Packs,4
1998,3305-2,World Team Player - Limited Edition (England),Service Packs,4
1998,3305-3,World Team Player - Limited Edition (Netherlands),Service Packs,4
1998,3306-1,Soccer Goalies,Service Packs,8
1998,3308-1,Tribune,Service Packs,85
1998,3309-1,Head Tribune,Service Packs,95
1998,3310-1,Commentator and Press Box,Service Packs,94
1967,331-1,Dump Truck,System,45
1998,3311-1,Camera Tower,Service Packs,100
1968,331-2,Dump Truck,System,45
1998,3312-1,Medic's Station,Service Packs,78
1998,3313-1,Light Poles,Service Packs,101
1998,3314-1,Stadium Security,Service Packs,143
2012,3315-1,Olivia’s House,Super Heroes,734
2012,3316-1,"Advent Calender 2012, Friends",Seasonal,214
1998,3317-1,German National Player,Service Packs,4
1998,3318-1,English Player,Service Packs,4
1998,3320-1,Austrian Player,Service Packs,4
1967,332-1,Tow Truck,System,56
1968,332-2,Tow Truck,System,56
1998,3323-1,Kaufhof Promotional Set: German National Player and Ball,Service Packs,5
1998,3324-1,Kaufhof Promotional Set: World Team Player and Ball,Service Packs,5
2002,3325-1,Intelligent Train Deluxe Set (Explore),Mixels,87
2002,3326-1,Intelligent Train Cargo (Explore),Mixels,13
2002,3327-1,Intelligent Train Station (Explore),Mixels,25
1998,3330-1,Racing Car,Service Packs,17
1981,333-1,Basic Set,Town,100
1998,3331-1,Bird,Service Packs,14
1967,333-2,Delivery Truck,System,68
1998,3332-1,Plane,Service Packs,18
1966,333-3,Delivery Truck,System,68
1998,3333-1,Helicopter,Service Packs,17
2002,3334-1,Intelli-Train Tunnel,Mixels,8
2002,3335-1,Intelligent Train Starter Set (Explore),Mixels,27
2000,3336-1,Green Tub,Batman,90
2000,3340-1,Star Wars #1 - Sith Minifig Pack,Star Wars,30
1967,334-1,Truck with Flatbed,System,72
2000,3341-1,Star Wars #2 - Luke/Han/Boba Minifig Pack,Star Wars,25
1968,334-2,SEMI-Trailer Truck,System,72
2000,3342-1,Star Wars #3 - Troopers/Chewie Minifig Pack,Star Wars,25
2000,3343-1,Star Wars #4 - Battle Droid Minifig Pack,Star Wars,33
2000,3344-1,One Minifig Pack - Ninja #1,Legoland,10
2000,3345-1,Three Minifig Pack - Ninja #2,Legoland,24
2000,3346-1,Three Minifig Pack - Ninja #3,Legoland,26
2000,3347-1,One Minifig Pack - Rock Raiders #1,Master Building Academy,8
2000,3348-1,Three Minifig Pack - Rock Raiders #2,Master Building Academy,23
2000,3349-1,Three Minifig Pack - Rock Raiders #3,Master Building Academy,29
2000,3350-1,City #1,Model,27
1990,335-1,Basic Building Set,Service Packs,245
2000,3351-1,Three Minifig Pack - City #2,Model,24
1967,335-2,Transport Truck,System,99
2007,3352-1,Salty the Dockyard Diesel,Mixels,8
1967,335-3,Transport Truck,System,99
2007,3353-1,Spencer and Sir Topham Hatt,Mixels,45
2007,3354-1,Gordon's Express,Mixels,13
1968,336-1,Fire Engine,System,76
2011,3365-1,Moon Buggy,Model,37
2011,3366-1,Satellite Launcher,Model,164
2011,3367-1,Space Shuttle,Model,230
2011,3368-1,Rocket Launch Center,Model,499
1987,337-1,Basic Building Set,Service Packs,225
1969,337-2,Truck with Crane and Caterpillar Track,System,92
2003,3380-1,Johnny Thunder Chupa Chups Promotional,Town,5
1970,338-1,Ambulance,LEGO Brand Store,74
2003,3381-1,Lord Sam Sinister Chupa Chups Promotional,Town,5
1979,338-2,Blondi the Pig and Taxi Station,Vehicle,35
2003,3382-1,Jing Lee the Wanderer Chupa Chups Promotional,Town,4
2003,3383-1,Chef,Town Jr.,6
2003,3384-1,Train Worker Chupa Chups Promotional,Advent Sub-Set,4
2003,3385-1,Conductor Charlie,Advent Sub-Set,6
2003,3386-1,Xtreme Stunts Pepper Roni Chupa Chups Promotional,FIRST LEGO League,4
2003,3387-1,Xtreme Stunts Brickster Chupa Chups Promotional,FIRST LEGO League,4
2003,3388-1,Xtreme Stunts Snap Lockitt Chupa Chups Promotional,FIRST LEGO League,4
2003,3389-1,Skateboarder Bill Chupa Chups Promotional,Service Packs,7
2003,3390-1,Basketball Street Player Chupa Chups Promotional,Service Packs,5
2003,3391-1,"Dash, Mission Deep Sea, Chupa Chups Promotional",Adventurers,9
1973,3-4,Basic Set,Town,191
1985,340-1,Basic Building Set,Service Packs,220
2000,3401-1,Shoot 'n' Score - without ZIDANE / Adidas Minifig,Service Packs,24
2000,3401-2,Shoot 'n' Score - with ZIDANE / Adidas Minifig,Service Packs,24
1978,340-2,Fire Trucks,Bionicle,277
2000,3402-1,Grandstand with Lights,Service Packs,60
1968,340-3,Railroad Control Tower,Bionicle,74
2000,3403-1,Fans' Grandstand with Scoreboard,Service Packs,80
1963,340-4,Railroad Control Tower,Bionicle,74
2000,3404-1,Black Bus,Service Packs,130
2000,3405-1,Blue Bus,Service Packs,130
2000,3406-1,Americas Bus,Service Packs,130
2000,3407-1,Red Bus,Service Packs,130
2000,3408-1,Super Sports Coverage,Service Packs,224
2000,3409-1,Championship Challenge,Service Packs,293
2000,3409-2,Championship Challenge - Special Edition with Orange Players,Service Packs,1
2000,3409-3,Championship Challenge,Service Packs,295
2000,3410-1,Field Expander,Service Packs,52
1968,341-1,Warehouse,Bionicle,123
2000,3411-1,Team Transport Bus,Service Packs,131
1979,341-2,Cathy Cat's & Morty Mouse's Cottage,Vehicle,114
2000,3412-1,Point Shooting,Service Packs,24
1968,341-3,Warehouse,Bionicle,123
2000,3413-1,Goal Keeper,Service Packs,27
2000,3414-1,Precision Shooting,Service Packs,22
2001,3416-1,Women's Team,Service Packs,67
2001,3418-1,Point Shooting,Service Packs,24
2001,3419-1,Precision Shooting,Service Packs,23
2002,3420-1,Championship Challenge II,Service Packs,387
2003,3420-2,Championship Challenge II - FC Bayern Promo Edition,Service Packs,387
2002,3420-3,Championship Challenge II - L'Equipe de France Promo Edition,Service Packs,387
2004,3420-4,Championship Challenge II - Sports Edition,Service Packs,387
1968,342-1,Station,Bionicle,191
2002,3421-1,3 v 3 Shootout,Service Packs,224
1968,342-2,Terminal Building,Bionicle,191
2002,3422-1,Shoot 'N Save (non-promo),Service Packs,110
2003,3422-2,Shoot 'N Save (FC Bayern Promo Edition),Service Packs,114
2002,3423-1,Freekick Frenzy,Service Packs,52
2002,3424-1,Target Practice,Service Packs,36
2002,3425-1,Grand Championship Cup - U.S. Men's Team Cup Edition,Service Packs,568
2002,3425-2,Grand Championship Cup,Service Packs,568
2002,3426-1,Team Transport Bus Adidas Edition,Service Packs,131
2003,3427-1,NBA Slam Dunk,Service Packs,55
2003,3428-1,One vs One Action,Service Packs,39
2003,3429-1,Ultimate Defense,Service Packs,82
2002,3430-1,Spin & Shoot,Service Packs,70
1968,343-1,Train Ferry,System,147
2003,3431-1,Streetball 2 vs 2,Service Packs,186
1967,343-2,Ferry,System,147
2003,3432-1,NBA Challenge,Service Packs,450
2003,3433-1,NBA Ultimate Arena,Service Packs,490
1999,3438-1,McDonald's Restaurant,City,93
2000,3439-1,Spy Runner,City,117
2003,3440-1,NBA Jam Session Co-Pack,Service Packs,71
1969,344-1,Bungalow,Hobby Sets,77
1979,344-2,Service Station,Vehicle,85
1998,3442-1,"Legoland California Truck, Limited Edition",Classic Town,104
2000,3444-1,2 x 4 Ridge Roof Tiles Steep Sloped Black,Harry Potter,25
2000,3445-1,2 x 4 Ridge Roof Tiles Steep Sloped Red,Harry Potter,25
2000,3446-1,2 x 2 Window White,Harry Potter,25
2000,3447-1,1 x 3 x 4 Wall Element Transparent Blue (Train Window),Harry Potter,25
2000,3448-1,1 x 4 x 5 Black Window Frames with Clear Panes,Harry Potter,20
2000,3449-1,1 x 4 x 6 Black Door Frame with Transparent Blue Panes,Harry Potter,10
2000,3450-1,Statue of Liberty,Indiana Jones,2899
1969,345-1,House with Mini Wheel Car,Hobby Sets,132
2001,3451-1,Sopwith Camel,Indiana Jones,577
1993,345-2,Small Bucket for Her,Service Packs,135
1970,345-3,House with Mini-Wheel Car,Hobby Sets,132
2000,3453-1,2 x 2 Black Bricks,Harry Potter,100
2003,3454-1,2 x 2 Light Gray Bricks,Harry Potter,100
2003,3455-1,2 x 2 White Bricks,Harry Potter,100
2000,3456-1,2 x 2 Dark Green Bricks,Harry Potter,100
2000,3457-1,2 x 2 Red Bricks,Harry Potter,100
2000,3458-1,2 x 4 Black Bricks,Harry Potter,50
2003,3459-1,2 x 4 Light Gray Bricks,Harry Potter,50
2003,3460-1,2 x 4 White Bricks,Harry Potter,50
1970,346-1,Jumbo Jet,Hero Factory,117
2000,3461-1,2 x 4 Dark Green Bricks,Harry Potter,50
1969,346-2,House with Car,Hobby Sets,167
2000,3462-1,2 x 4 Red Bricks,Harry Potter,50
2000,3463-1,2 x 8 Black Bricks,Harry Potter,25
2003,3464-1,2 x 8 Light Gray Bricks,Harry Potter,25
2003,3465-1,2 x 8 White Bricks,Harry Potter,25
2000,3466-1,2 x 8 Dark Green Bricks,Harry Potter,25
2000,3467-1,2 x 8 Red Bricks,Harry Potter,25
2000,3468-1,1 x 4 Black Bricks,Harry Potter,50
2003,3469-1,1 x 4 Light Gray Bricks,Harry Potter,50
2003,3470-1,1 x 4 White Bricks,Harry Potter,50
1970,347-1,Fire Station with Mini Cars,LEGO Brand Store,206
2000,3471-1,1 x 4 Dark Green Bricks,Harry Potter,50
1987,347-2,Basic Building Set,Service Packs,330
2000,3472-1,1 x 4 Red Bricks,Harry Potter,50
1979,347-3,Doc David's Hospital,Vehicle,106
2000,3473-1,1 x 6 Black Bricks,Harry Potter,50
1969,347-4,Fire Station with Mini-Wheel Vehicles,LEGO Brand Store,206
2000,3474-1,1 x 6 Light Gray Bricks,Harry Potter,50
2000,3475-1,1 x 6 White Bricks,Harry Potter,50
2000,3476-1,1 x 6 Dark Green Bricks,Harry Potter,50
2000,3477-1,1 x 6 Red Bricks,Harry Potter,50
2000,3478-1,1 x 8 Black Bricks,Harry Potter,25
2000,3479-1,1 x 8 Light Grey Bricks,Harry Potter,25
2003,3480-1,1 x 8 White Bricks,Harry Potter,25
1971,348-1,Garage with Automatic Doors,Hobby Sets,38
2000,3481-1,1 x 8 Dark Green Bricks,Harry Potter,25
1970,348-2,Mini-Wheel Car and Truck Set,Legoland,183
2000,3482-1,1 x 8 Red Bricks,Harry Potter,25
2000,3483-1,2 x 4 Black Plates,Harry Potter,100
2000,3484-1,2 x 4 White Plates,Harry Potter,100
2000,3485-1,2 x 4 Red Plates,Harry Potter,100
2000,3486-1,1 x 6 Black Plates,Harry Potter,50
2000,3487-1,1 x 6 White Plates,Harry Potter,50
2000,3488-1,1 x 6 Red Plates,Harry Potter,50
2000,3489-1,2 x 8 Black Plates,Harry Potter,25
2000,3490-1,2 x 8 White Plates,Harry Potter,25
1971,349-1,Swiss Chalet,Hobby Sets,81
2000,3491-1,2 x 8 Red Plates,Harry Potter,25
2000,3492-1,2 x 2 Black Smooth Tiles,Harry Potter,100
2000,3493-1,2 x 2 White Smooth Tiles,Harry Potter,100
2000,3494-1,2 x 2 Red Smooth Tiles,Harry Potter,100
2003,3495-1,2 x 2 Roof Tiles Steep Sloped Black,Harry Potter,100
2003,3496-1,2 x 2 Roof Tiles Steep Sloped Red,Harry Potter,100
2003,3497-1,2 x 4 Roof Tile Black,Harry Potter,50
2000,3498-1,2 x 4 Roof Tile Red,Harry Potter,50
2000,3499-1,Small Spruce Trees,Harry Potter,25
2003,3500-1,Kobe Bryant,Service Packs,4
1971,350-1,Spanish Villa,Hobby Sets,126
1998,3501-1,Jet-Car,Universal Building Set,26
1985,350-2,Basic Building Set,Service Packs,315
1998,3502-1,Bi-Wing,Universal Building Set,24
1979,350-3,Town Hall with Leonard Lion & Friends,Vehicle,134
1998,3503-1,Mini-Sonic,Universal Building Set,22
1998,3504-1,Hook-Truck,Universal Building Set,30
1999,3505-1,Aeroplane,Universal Building Set,23
1999,3506-1,Motorbike,Universal Building Set,26
2001,3507-1,1 x 4 x 3 Wall Element Clear,Harry Potter,25
2001,3508-1,1 x 4 x 5 Black Window Frame with Blue Pane,Harry Potter,20
1977,35-1,Screws for Motor Case,Minitalia,2
1998,3510-1,Polybag,Universal Building Set,25
1971,351-1,Loader Hopper with Truck,Island Xtreme Stunts,170
2003,3511-1,Funny Crocodile (Explore),Batman,16
2003,3512-1,Funny Giraffe,Batman,21
2003,3513-1,Funny Lion (Explore),Batman,23
2003,3514-1,Rhino and Lion,Batman,29
2003,3515-1,African Adventures,Batman,52
2003,3517-1,Blue Deer (Explore),Batman,10
2003,3518-1,Yellow Duck (Explore),Batman,11
2003,3519-1,Green Parrot (Explore),Batman,10
1999,3520-1,Forklift,Universal Building Set,39
1972,352-1,Windmill and Lorry,Hobby Sets,142
1999,3521-1,Racer,Universal Building Set,35
2003,3529-1,Pau Gasol,Service Packs,4
2003,3530-1,Tony Parker,Service Packs,4
1972,353-1,Terrace House with Car and Garage,Hobby Sets,153
1998,3531-1,Tri-Bike,Universal Building Set,29
1998,3532-1,Jet-Ski,Universal Building Set,27
2003,3535-1,Skateboard Street Park,Service Packs,68
2003,3536-1,Snowboard Big Air Comp,Service Packs,81
2003,3537-1,Skateboard Vert Park Challenge,Service Packs,91
2003,3538-1,Snowboard Boarder Cross Race,Service Packs,197
2003,3540-1,Puck Passer,Service Packs,47
1972,354-1,Police Heliport,Legoland,170
2003,3541-1,Slap Shot,Service Packs,48
2003,3542-1,Flip Shot,Service Packs,49
2003,3543-1,Slammer Goalie,Service Packs,46
2003,3544-1,Hockey Game Set,Service Packs,153
2003,3545-1,Hockey Puck Feeder,Service Packs,151
2003,3548-1,Slam Dunk Trainer,Service Packs,19
2003,3548-2,Slam Dunk Trainer (Kabaya Promotional),Service Packs,19
2003,3549-1,Practice Shooting,Service Packs,17
2003,3549-2,Practice Shooting (Kabaya Promotional),Service Packs,17
2003,3550-1,Jump and Shoot,Service Packs,17
2003,3550-2,Jump and Shoot (Kabaya Promotional),Service Packs,17
1972,355-1,Town Center Set with Roadways,Hobby Sets,332
1998,3551-1,Dino-Jet,Universal Building Set,80
1981,355-2,Basic Set,Town,160
1998,3552-1,Hover Sub with motor,Universal Building Set,126
1999,3554-1,Helicopter,Universal Building Set,79
1999,3555-1,Jeep,Universal Building Set,262
2004,3557-1,Blue Player & Goal,Service Packs,32
2004,3558-1,Red Player & Goal,Service Packs,33
2004,3559-1,Red & Blue Player,Service Packs,39
2003,3560-1,NBA Collectors #1,Service Packs,15
1973,356-1,Swiss Villa,Hobby Sets,150
2003,3561-1,NBA Collectors #2,Service Packs,15
1987,356-2,Basic Building Set with Storage Case,Service Packs,331
2003,3562-1,NBA Collectors #3,Service Packs,16
2003,3563-1,NBA Collectors #4,Service Packs,15
2003,3564-1,NBA Collectors #5,Service Packs,15
2003,3565-1,NBA Collectors #6,Service Packs,15
2003,3566-1,NBA Collectors #7,Service Packs,15
2003,3567-1,NBA Collectors #8,Service Packs,15
2006,3568-1,Soccer Target Practice,Service Packs,24
2006,3569-1,Grand Soccer Stadium,Service Packs,382
2006,3570-1,Street Soccer,Service Packs,198
1973,357-1,Fire Station,LEGO Brand Store,236
1998,3571-1,Blackmobile with motor,Universal Building Set,143
2007,3573-1,Superstar Figure ,Service Packs,9
2004,3578-1,NHL Championship Challenge,Service Packs,395
2004,3579-1,Street Hockey,Service Packs,119
1973,358-1,Rocket Base,Legoland,276
1998,3581-1,Formula Z Car in Storage Case,Universal Building Set,172
1999,3582-1,Ant,Universal Building Set,258
2003,3584-1,Rapid Return,Service Packs,47
2003,3585-1,Snowboard Super Pipe,Service Packs,224
2003,3586-1,Stunt Plane (Explore),Super Heroes,8
2003,3587-1,Mini Dozer (Explore),Super Heroes,14
2003,3588-1,Heavy Truck (Explore),Super Heroes,17
2003,3589-1,Chopper (Explore),Super Heroes,21
2003,3590-1,Drill (Explore),Super Heroes,23
1972,359-1,Environment Plate,Sports,1
1998,3591-1,Heli-Transport (Rota-Beast),Universal Building Set,265
2009,3594-1,Bob's Workshop,Minecraft,14
2009,3595-1,Scoop at Bobland Bay,Minecraft,28
